name,city,country,address,phone,email,website,transport_scope,truck_types,transport_description,hiring_drivers,training_available,job_link,verified,last_verified_at,notes
TNG LOG TRANS,Tanger,Morocco,"Complexe Al Hassani 3 Al Hoda 3 N°33 Gzenaya",+212663359633,contact@tnglogtrans.com,https://tltcargo.com/,national_and_international,,"Transport routier de marchandises et logistique",0,0,,1,2026-09-09,"Source professionnelle et site officiel"
Futur Trans Atlantic,Tanger,Morocco,"7 Bd Hariri 3° Etage Apt N°10",0539321150,fta@fta.ma,https://www.fta.ma/,national_and_international,,"Transport routier de marchandises et logistique",0,0,,1,2026-09-09,"Sources professionnelles vérifiées"
TIMAR,Casablanca,Morocco,"Quartier Oukacha Rue 1 Imm.1",,,https://www.timar.ma/,international,,"Transport international transit et logistique",0,0,,1,2026-09-09,"Source professionnelle"
HV Logistics,Tanger,Morocco,"Rue Ahmed Chaouki 14 Immeuble Mirador 5e Etage N°25",0539370518,info@hv-logistics.com,https://www.hv-logistics.com/,international,"Standard tractors;Mega tractors;Reefer trailers","Transport international de marchandises",0,0,,1,2026-09-09,"Site officiel"
TRANSBULK,Casablanca,Morocco,"34 Rue Charm Echeikh Résidence Palmier 1er étage",,saad.tazi@transbulk.ma,,national,,"Transport de marchandises et déchets industriels",0,0,,1,2026-09-09,"Source gouvernementale"
A&C INTERNATIONAL ROAD CARGO,Tanger,Morocco,"Lot N°127 Zone Franche Tanger Automotive City",,,,international,,"Transport de marchandises et logistique domestique internationale et transfrontalière",0,0,,1,2026-09-09,"Source professionnelle"
M&M MAROC,Casablanca,Morocco,,,,,international,,"Transport international de marchandises par route",0,0,,1,2026-09-09,"Source professionnelle"
JTTL,Casablanca,Morocco,,,,,international,,"Transport et logistique",0,0,,1,2026-09-09,"Source professionnelle"
NEJTRANS,Tanger,Morocco,,,,,international,,"Transport et logistique",0,0,,1,2026-09-09,"Source professionnelle"
DSV ROAD,Casablanca,Morocco,,,,,international,,"Transport routier international",0,0,,1,2026-09-09,"Source professionnelle"
GEODIS FF MAROC,Casablanca,Morocco,,,,,international,,"Transport et logistique internationale",0,0,,1,2026-09-09,"Source professionnelle"
S.T.C.MA,Casablanca,Morocco,,,,,international,,"Transport et logistique",0,0,,1,2026-09-09,"Source professionnelle"
GOLDEN BRIDGE TO MOROCCO,Casablanca,Morocco,,,,https://www.goldenbridge.ma/,international,,"Transport stockage logistique et distribution",0,0,,1,2026-09-09,"Site officiel"
ARIN EXPRESS MOROCCO,Tanger,Morocco,,,,,international,,"Transport routier et logistique",0,0,,1,2026-09-09,"Source professionnelle"
